player1 clans,player1 is_winner,player1 lvl1_played,player1 lvl2_played,player1 lvl3_played,player1 cards_drawn,player1 cards_captured,player1 cards_destroyed,player1 cards_sacrificed,player1 cards_shifted,player1 force_of_will,player1 activation_tokens,player1 clan_most_played,player1 clan_most_played_last_5_turns,player1 is_first_player,player2 clans,player2 is_winner,player2 lvl1_played,player2 lvl2_played,player2 lvl3_played,player2 cards_drawn,player2 cards_captured,player2 cards_destroyed,player2 cards_sacrificed,player2 cards_shifted,player2 force_of_will,player2 activation_tokens,player2 clan_most_played,player2 clan_most_played_last_5_turns,player2 is_first_player,id,average_rank,creation_time,creation_time_month,creation_time_day,creation_time_year,Abunakkashii,duration_min,clan_passive_1,clan_passive_2,victory_condition,nb_of_rounds,clans_selected_1,clans_selected_2,clans_selected_3,clans_selected_4,clans_selected_5,clans_selected_6,clans_banned_1
["Xi'an" "Tomorrow" "Phoenix"],true,12,8,4,46,1,1,7,4,0,5,Xi'an,Xi'an,false,["Galmi" "Narashima" "Goan-Sul"],false,11,9,3,28,3,2,7,4,0,3,Galmi,Narashima,true,481659209,451,Created 03/01/2024 at 08:40,3,1,2024,true,48,Justice,Abunakkashii,Unlocking 5 Activation tokens,2,Galmi,Xi'an,Tomorrow,Narashima,Goan-Sul,Phoenix,Abhilasha
["Abhilasha" "Tomorrow" "Narashima"],true,7,5,0,25,6,0,0,4,0,2,Abhilasha,Narashima,true,["Galmi" "Xi'an" "Justice"],false,8,3,2,21,1,0,0,4,0,2,Galmi,Xi'an,false,488420137,451,Created 03/17/2024 at 18:56,3,17,2024,false,16,Goan-Sul,Phoenix,Conceded,1,Abhilasha,Galmi,Xi'an,Tomorrow,Narashima,Justice,Abunakkashii
["Xi'an" "Galmi" "Tomorrow"],true,6,5,5,18,2,0,2,0,0,2,Xi'an,Galmi,false,["Abhilasha" "Narashima" "Justice"],false,9,2,1,21,1,0,0,4,1,2,Justice,Justice,true,492620652,450,Created 03/27/2024 at 22:55,3,27,2024,true,19,Abunakkashii,Phoenix,Controlling 15 cards face up,1,Abhilasha,Xi'an,Galmi,Narashima,Justice,Tomorrow,Goan-Sul
["Galmi" "Xi'an" "Goan-Sul"],true,12,7,3,32,1,3,11,2,0,2,Galmi,Galmi,false,["Abhilasha" "Narashima" "Tomorrow"],false,17,7,4,37,5,1,9,8,3,4,Abhilasha,Tomorrow,true,486200311,448,Created 03/12/2024 at 08:31,3,12,2024,false,50,Justice,Phoenix,Controlling 2 Supremacy tokens,3,Abhilasha,Galmi,Xi'an,Narashima,Tomorrow,Goan-Sul,Abunakkashii
["Abhilasha" "Narashima" "Tomorrow"],true,14,6,5,40,7,0,3,4,2,3,Abhilasha,Abhilasha,true,["Galmi" "Xi'an" "Justice"],false,13,4,2,34,0,0,4,4,0,4,Galmi,Galmi,false,501291716,447,Created yesterday at 21:27,true,28,Phoenix,Abunakkashii,Controlling 15 cards face up,2,Abhilasha,Galmi,Xi'an,Narashima,Tomorrow,Justice,Goan-Sul
["Galmi" "Narashima" "Tomorrow"],true,9,8,1,21,0,1,5,2,0,2,Narashima,Narashima,true,["Xi'an" "Goan-Sul" "Phoenix"],false,9,3,3,28,1,0,6,1,0,4,Xi'an,Phoenix,false,500685562,445,Created 4 hours ago,true,34,Justice,Abunakkashii,Controlling 2 Supremacy tokens,2,Galmi,Xi'an,Goan-Sul,Narashima,Tomorrow,Phoenix,Abhilasha
["Abhilasha" "Tomorrow" "Narashima"],true,10,11,2,37,12,0,5,8,1,3,Abhilasha,Abhilasha,true,["Galmi" "Xi'an" "Justice"],false,8,6,2,25,2,0,7,2,0,4,Galmi,Galmi,false,489100175,445,Created 03/19/2024 at 11:17,3,19,2024,false,47,Phoenix,Goan-Sul,Winning a Great Battle by more than 10 points (Goan-Sul),2,Abhilasha,Galmi,Xi'an,Tomorrow,Narashima,Justice,Abunakkashii
["Abhilasha" "Narashima" "Tomorrow"],true,14,11,6,37,7,1,7,6,4,4,Abhilasha,Narashima,true,["Galmi" "Xi'an" "Goan-Sul"],false,10,10,5,35,2,4,6,6,0,4,Xi'an,Galmi,false,486649575,444,Created 03/13/2024 at 11:05,3,13,2024,false,63,Phoenix,Justice,Controlling 2 Supremacy tokens,2,Abhilasha,Galmi,Xi'an,Narashima,Tomorrow,Goan-Sul,Abunakkashii
["Xi'an" "Goan-Sul" "Narashima"],true,14,5,2,33,2,3,8,3,0,2,Narashima,Narashima,false,["Galmi" "Justice" "Tomorrow"],false,12,3,1,27,1,0,6,2,0,2,Galmi,Galmi,true,500928497,444,Created today at 10:41,true,110,Phoenix,Abunakkashii,Conceded,3,Galmi,Xi'an,Goan-Sul,Justice,Tomorrow,Narashima,Abhilasha
["Xi'an" "Galmi" "Justice"],true,6,5,4,18,0,1,0,2,1,2,Xi'an,Xi'an,false,["Abhilasha" "Tomorrow" "Phoenix"],false,9,2,2,20,2,0,0,3,0,2,Phoenix,Phoenix,true,502130766,441,Created 3 hours ago,true,20,Abunakkashii,Goan-Sul,Winning a Great Battle by more than 10 points (Goan-Sul),1,Abhilasha,Xi'an,Galmi,Tomorrow,Phoenix,Justice,Narashima
["Abhilasha" "Tomorrow" "Goan-Sul"],true,5,4,2,31,1,1,0,2,0,2,Abhilasha,Goan-Sul,true,["Galmi" "Narashima" "Phoenix"],false,4,4,0,19,0,0,0,3,0,2,Phoenix,Phoenix,false,484185091,440,Created 03/07/2024 at 11:12,3,7,2024,true,13,Abunakkashii,Justice,Winning a Great Battle by more than 10 points (Goan-Sul),1,Abhilasha,Galmi,Narashima,Tomorrow,Goan-Sul,Phoenix,Xi'an
["Abhilasha" "Narashima" "Tomorrow"],true,12,8,0,26,6,0,4,4,1,2,Narashima,Narashima,true,["Xi'an" "Galmi" "Justice"],false,9,3,1,15,0,0,3,0,0,2,Galmi,Xi'an,false,495997965,438,Created 04/05/2024 at 09:19,4,5,2024,true,133,Abunakkashii,Phoenix,Controlling 2 Supremacy tokens,2,Abhilasha,Xi'an,Galmi,Narashima,Tomorrow,Justice,Goan-Sul
["Galmi" "Xi'an" "Justice"],true,13,9,7,33,2,0,14,5,1,3,Galmi,Galmi,false,["Abhilasha" "Narashima" "Tomorrow"],false,13,12,12,58,0,0,11,8,1,4,Tomorrow,Narashima,true,492365502,437,Created 03/27/2024 at 10:26,3,27,2024,true,71,Phoenix,Abunakkashii,Controlling 2 Supremacy tokens,3,Abhilasha,Galmi,Xi'an,Narashima,Tomorrow,Justice,Goan-Sul
["Abhilasha" "Galmi" "Tomorrow"],true,11,9,2,31,9,0,6,9,0,2,Abhilasha,Abhilasha,true,["Xi'an" "Narashima" "Abunakkashii"],false,9,5,3,35,2,0,5,6,0,2,Xi'an,Abunakkashii,false,498137627,435,Created yesterday at 15:04,true,47,Justice,Phoenix,Controlling 2 Supremacy tokens,2,Abhilasha,Xi'an,Narashima,Galmi,Tomorrow,Abunakkashii,Goan-Sul
["Abhilasha" "Tomorrow" "Phoenix"],true,12,4,4,30,1,0,2,5,0,2,Phoenix,Tomorrow,true,["Narashima" "Galmi" "Abunakkashii"],false,9,5,0,9,0,1,1,4,0,2,Narashima,Galmi,false,492397876,432,Created 03/27/2024 at 12:42,3,27,2024,true,25,Goan-Sul,Justice,Winning a Great Battle by more than 10 points (Goan-Sul),1,Abhilasha,Narashima,Galmi,Tomorrow,Phoenix,Abunakkashii,Xi'an
["Abhilasha" "Galmi" "Tomorrow"],true,9,6,0,14,11,0,4,3,0,2,Abhilasha,Abhilasha,false,["Xi'an" "Goan-Sul" "Narashima"],false,8,4,2,22,2,3,4,2,0,2,Narashima,Xi'an,true,492386058,432,Created 03/27/2024 at 12:12,3,27,2024,true,28,Abunakkashii,Phoenix,Controlling 2 Supremacy tokens,2,Xi'an,Abhilasha,Galmi,Goan-Sul,Narashima,Tomorrow,Justice
["Galmi" "Xi'an" "Phoenix"],true,7,5,4,17,0,0,5,1,0,3,Phoenix,Phoenix,false,["Abhilasha" "Tomorrow" "Narashima"],false,9,4,1,39,0,0,3,2,0,2,Tomorrow,Tomorrow,true,493074561,430,Created 03/29/2024 at 01:21,3,29,2024,true,16,Justice,Abunakkashii,Conceded,2,Abhilasha,Galmi,Xi'an,Tomorrow,Narashima,Phoenix,Goan-Sul
["Tomorrow" "Narashima" "Goan-Sul"],true,8,5,0,30,0,4,2,0,0,2,Tomorrow,Goan-Sul,false,["Abhilasha" "Galmi" "Justice"],false,9,1,1,18,0,0,2,0,0,2,Galmi,Galmi,true,493072987,430,Created 03/29/2024 at 01:48,3,29,2024,true,11,Abunakkashii,Phoenix,Controlling 2 Supremacy tokens,2,Abhilasha,Tomorrow,Narashima,Galmi,Justice,Goan-Sul,Xi'an
["Abhilasha" "Narashima" "Tomorrow"],true,16,7,5,43,6,0,10,9,4,5,Tomorrow,Tomorrow,true,["Galmi" "Xi'an" "Goan-Sul"],false,16,9,2,27,1,0,10,6,0,2,Galmi,Goan-Sul,false,489488799,428,Created 03/20/2024 at 09:28,3,20,2024,false,1708,Justice,Phoenix,Unlocking 5 Activation tokens,2,Abhilasha,Galmi,Xi'an,Narashima,Tomorrow,Goan-Sul,Abunakkashii
["Galmi" "Xi'an" "Justice"],true,4,4,3,17,1,0,0,1,0,2,Galmi,Xi'an,false,["Abhilasha" "Tomorrow" "Narashima"],false,6,3,0,7,0,0,0,2,2,2,Abhilasha,Tomorrow,true,487872718,426,Created 03/16/2024 at 11:55,3,16,2024,true,40,Abunakkashii,Goan-Sul,Winning a Great Battle by more than 10 points (Goan-Sul),1,Abhilasha,Galmi,Xi'an,Tomorrow,Narashima,Justice,Phoenix
["Galmi" "Xi'an" "Goan-Sul"],true,18,11,3,39,3,5,22,4,0,2,Goan-Sul,Xi'an,false,["Abhilasha" "Justice" "Narashima"],false,23,11,1,61,6,0,8,13,1,2,Abhilasha,Narashima,true,498068595,424,Created 04/10/2024 at 11:09,4,10,2024,true,1769,Phoenix,Tomorrow,Controlling 2 Supremacy tokens,3,Abhilasha,Galmi,Xi'an,Justice,Narashima,Goan-Sul,Abunakkashii
["Galmi" "Xi'an" "Goan-Sul"],true,10,3,4,23,1,0,7,3,0,5,Galmi,Galmi,false,["Abhilasha" "Narashima" "Tomorrow"],false,12,7,1,32,1,4,5,8,1,2,Narashima,Narashima,true,479435818,424,Created 02/24/2024 at 22:20,2,24,2024,true,892,Justice,Abunakkashii,Unlocking 5 Activation tokens,2,Abhilasha,Galmi,Xi'an,Narashima,Tomorrow,Goan-Sul,Phoenix
["Galmi" "Xi'an" "Phoenix"],true,7,6,4,17,1,0,5,2,0,2,Phoenix,Galmi,false,["Abhilasha" "Tomorrow" "Narashima"],false,12,5,0,30,8,0,3,7,0,2,Abhilasha,Abhilasha,true,491019293,423,Created 03/24/2024 at 02:03,3,24,2024,false,1356,Goan-Sul,Justice,Winning a Great Battle by more than 10 points (Goan-Sul),2,Abhilasha,Galmi,Xi'an,Tomorrow,Narashima,Phoenix,Abunakkashii
["Abhilasha" "Galmi" "Justice"],true,7,8,3,23,5,0,0,4,2,2,Galmi,Galmi,false,["Xi'an" "Narashima" "Abunakkashii"],false,8,8,4,25,3,1,3,5,0,2,Narashima,Abunakkashii,true,491528840,422,Created 03/25/2024 at 09:13,3,25,2024,true,37,Phoenix,Goan-Sul,Winning a Great Battle by more than 10 points (Goan-Sul),1,Xi'an,Abhilasha,Galmi,Narashima,Abunakkashii,Justice,Tomorrow
["Galmi" "Xi'an" "Justice"],true,7,3,1,12,2,0,0,2,0,2,Galmi,Xi'an,false,["Abhilasha" "Tomorrow" "Narashima"],false,5,1,2,10,1,0,0,0,0,2,Tomorrow,Tomorrow,true,498297300,422,Created yesterday at 21:45,true,249,Abunakkashii,Goan-Sul,Winning a Great Battle by more than 10 points (Goan-Sul),1,Abhilasha,Galmi,Xi'an,Tomorrow,Narashima,Justice,Phoenix
["Abhilasha" "Narashima" "Goan-Sul"],true,10,2,1,25,4,0,1,4,0,2,Abhilasha,Abhilasha,true,["Galmi" "Xi'an" "Phoenix"],false,10,4,0,16,1,0,1,5,0,2,Galmi,Galmi,false,493985483,417,Created 03/31/2024 at 11:02,3,31,2024,true,25,Justice,Abunakkashii,Conceded,1,Abhilasha,Galmi,Xi'an,Narashima,Goan-Sul,Phoenix,Tomorrow
["Galmi" "Xi'an" "Phoenix"],true,7,4,3,18,1,0,0,3,0,5,Phoenix,Xi'an,false,["Abhilasha" "Tomorrow" "Goan-Sul"],false,6,3,1,22,4,0,0,2,0,2,Abhilasha,Tomorrow,true,482120152,415,Created 03/02/2024 at 11:31,3,2,2024,true,13,Justice,Abunakkashii,Unlocking 5 Activation tokens,1,Abhilasha,Galmi,Xi'an,Tomorrow,Goan-Sul,Phoenix,Narashima
["Abhilasha" "Justice" "Tomorrow"],true,10,7,4,35,1,0,11,4,1,2,Justice,Justice,true,["Galmi" "Xi'an" "Narashima"],false,9,7,4,33,0,0,12,3,0,3,Narashima,Narashima,false,488647346,414,Created 03/18/2024 at 08:35,3,18,2024,true,2899,Abunakkashii,Phoenix,Turn over 3 Clan tiles (Justice),3,Abhilasha,Galmi,Xi'an,Justice,Tomorrow,Narashima,Goan-Sul
["Xi'an" "Galmi" "Goan-Sul"],true,12,5,4,34,2,6,11,2,0,2,Goan-Sul,Xi'an,false,["Abhilasha" "Narashima" "Tomorrow"],false,14,5,3,44,4,1,8,2,5,3,Narashima,Narashima,true,486795186,414,Created 03/13/2024 at 18:47,3,13,2024,false,54,Phoenix,Justice,Controlling 2 Supremacy tokens,3,Abhilasha,Xi'an,Galmi,Narashima,Tomorrow,Goan-Sul,Abunakkashii
["Abhilasha" "Narashima" "Tomorrow"],true,13,9,2,24,4,0,5,4,5,2,Abhilasha,Narashima,true,["Galmi" "Xi'an" "Goan-Sul"],false,8,9,0,21,2,2,5,2,0,2,Goan-Sul,Galmi,false,489148193,414,Created 03/19/2024 at 13:32,3,19,2024,false,30,Justice,Phoenix,Controlling 2 Supremacy tokens,2,Abhilasha,Galmi,Xi'an,Narashima,Tomorrow,Goan-Sul,Abunakkashii
["Xi'an" "Goan-Sul" "Narashima"],true,4,4,2,22,0,0,0,2,0,5,Xi'an,Xi'an,true,["Galmi" "Tomorrow" "Phoenix"],false,4,3,2,17,0,0,0,0,0,2,Phoenix,Galmi,false,494759244,414,Created 04/02/2024 at 07:33,4,2,2024,true,165,Justice,Abunakkashii,Unlocking 5 Activation tokens,1,Xi'an,Galmi,Tomorrow,Goan-Sul,Narashima,Phoenix,Abhilasha
["Abhilasha" "Galmi" "Goan-Sul"],true,7,5,2,23,5,0,5,2,2,2,Galmi,Galmi,true,["Xi'an" "Tomorrow" "Abunakkashii"],false,8,5,1,25,2,0,3,1,0,3,Xi'an,Xi'an,false,490706581,414,Created 03/23/2024 at 09:58,3,23,2024,true,19,Justice,Phoenix,Controlling 2 Supremacy tokens,2,Abhilasha,Xi'an,Tomorrow,Galmi,Goan-Sul,Abunakkashii,Narashima
["Abhilasha" "Tomorrow" "Phoenix"],true,13,6,3,37,4,0,9,2,0,2,Phoenix,Phoenix,true,["Galmi" "Narashima" "Justice"],false,9,8,1,20,0,0,7,5,0,2,Justice,Narashima,false,493614837,412,Created 03/30/2024 at 11:59,3,30,2024,true,52,Goan-Sul,Abunakkashii,Winning a Great Battle by more than 10 points (Goan-Sul),2,Abhilasha,Galmi,Narashima,Tomorrow,Phoenix,Justice,Xi'an
["Abhilasha" "Tomorrow" "Narashima"],true,15,15,6,62,9,1,9,10,1,3,Abhilasha,Tomorrow,true,["Galmi" "Xi'an" "Goan-Sul"],false,15,12,5,51,3,2,11,9,0,4,Xi'an,Galmi,false,481102449,412,Created 02/28/2024 at 22:19,2,28,2024,true,94,Justice,Abunakkashii,Controlling 2 Supremacy tokens,3,Abhilasha,Galmi,Xi'an,Tomorrow,Narashima,Goan-Sul,Phoenix
["Xi'an" "Narashima" "Goan-Sul"],true,5,9,5,25,5,1,3,0,0,4,Narashima,Goan-Sul,true,["Abhilasha" "Galmi" "Phoenix"],false,10,8,3,26,4,0,3,5,2,2,Galmi,Galmi,false,494227178,410,Created 03/31/2024 at 23:36,3,31,2024,true,35,Justice,Abunakkashii,Winning a Great Battle by more than 10 points (Goan-Sul),2,Xi'an,Abhilasha,Galmi,Narashima,Goan-Sul,Phoenix,Tomorrow
["Galmi" "Xi'an" "Justice"],true,3,4,1,10,0,0,0,1,0,2,Galmi,Galmi,false,["Abhilasha" "Tomorrow" "Narashima"],false,7,1,0,12,1,0,0,1,0,2,Abhilasha,Abhilasha,true,487426196,407,Created 03/15/2024 at 09:17,3,15,2024,false,10,Phoenix,Goan-Sul,Winning a Great Battle by more than 10 points (Goan-Sul),1,Abhilasha,Galmi,Xi'an,Tomorrow,Narashima,Justice,Abunakkashii
["Abhilasha" "Narashima" "Tomorrow"],true,15,7,5,35,10,1,4,7,2,3,Abhilasha,Abhilasha,true,["Galmi" "Goan-Sul" "Justice"],false,12,10,1,29,1,1,7,7,0,2,Galmi,Galmi,false,497080686,407,Created 04/07/2024 at 23:35,4,7,2024,true,47,Phoenix,Abunakkashii,Controlling 15 cards face up,2,Abhilasha,Galmi,Goan-Sul,Narashima,Tomorrow,Justice,Xi'an
["Abhilasha" "Narashima" "Tomorrow"],true,15,5,3,25,2,1,5,5,3,2,Abhilasha,Narashima,true,["Galmi" "Xi'an" "Goan-Sul"],false,12,5,1,20,0,0,6,2,0,3,Galmi,Galmi,false,486917239,407,Created 03/14/2024 at 00:15,3,14,2024,false,36,Justice,Phoenix,Controlling 2 Supremacy tokens,2,Abhilasha,Galmi,Xi'an,Narashima,Tomorrow,Goan-Sul,Abunakkashii
["Abhilasha" "Narashima" "Phoenix"],true,13,10,5,46,6,0,7,5,5,3,Abhilasha,Abhilasha,false,["Galmi" "Xi'an" "Goan-Sul"],false,9,12,7,40,2,0,8,7,0,3,Galmi,Xi'an,true,493085363,407,Created 03/29/2024 at 02:14,3,29,2024,true,57,Abunakkashii,Justice,Controlling 2 Supremacy tokens,2,Galmi,Abhilasha,Narashima,Xi'an,Goan-Sul,Phoenix,Tomorrow
["Narashima" "Abhilasha" "Phoenix"],true,11,8,2,26,2,0,7,2,7,2,Abhilasha,Abhilasha,false,["Galmi" "Goan-Sul" "Tomorrow"],false,10,5,2,22,0,0,6,2,0,2,Goan-Sul,Goan-Sul,true,488105427,406,Created 03/16/2024 at 23:06,3,16,2024,true,29,Abunakkashii,Justice,Controlling 2 Supremacy tokens,2,Galmi,Narashima,Abhilasha,Goan-Sul,Tomorrow,Phoenix,Xi'an
["Xi'an" "Galmi" "Justice"],true,8,5,4,21,0,0,3,2,0,2,Galmi,Galmi,false,["Abhilasha" "Phoenix" "Tomorrow"],false,8,6,3,23,4,0,6,5,0,2,Abhilasha,Abhilasha,true,492409837,406,Created 03/27/2024 at 13:17,3,27,2024,true,29,Abunakkashii,Goan-Sul,Winning a Great Battle by more than 10 points (Goan-Sul),2,Abhilasha,Xi'an,Galmi,Phoenix,Tomorrow,Justice,Narashima
["Xi'an" "Galmi" "Tomorrow"],true,12,7,5,50,5,0,7,5,0,5,Xi'an,Galmi,false,["Abhilasha" "Narashima" "Goan-Sul"],false,11,10,1,43,6,4,5,8,0,2,Abhilasha,Goan-Sul,true,500712193,406,Created 2 hours ago,true,37,Abunakkashii,Justice,Unlocking 5 Activation tokens,2,Abhilasha,Xi'an,Galmi,Narashima,Goan-Sul,Tomorrow,Phoenix
["Galmi" "Xi'an" "Phoenix"],true,12,4,4,24,0,3,6,3,0,2,Xi'an,Galmi,false,["Abhilasha" "Goan-Sul" "Narashima"],false,7,6,1,25,0,2,2,2,1,2,Narashima,Abhilasha,true,482144058,405,Created 03/02/2024 at 13:11,3,2,2024,true,26,Abunakkashii,Justice,Controlling 2 Supremacy tokens,2,Abhilasha,Galmi,Xi'an,Goan-Sul,Narashima,Phoenix,Tomorrow
["Abhilasha" "Tomorrow" "Phoenix"],true,11,11,3,37,8,0,5,8,3,3,Phoenix,Tomorrow,true,["Galmi" "Xi'an" "Goan-Sul"],false,11,6,3,31,2,0,5,5,0,3,Xi'an,Xi'an,false,480681498,405,Created 02/27/2024 at 22:08,2,27,2024,true,70,Justice,Abunakkashii,Controlling 2 Supremacy tokens,2,Abhilasha,Galmi,Xi'an,Tomorrow,Phoenix,Goan-Sul,Narashima
["Abhilasha" "Narashima" "Abunakkashii"],true,12,11,3,26,4,1,5,3,2,2,Abhilasha,Abhilasha,true,["Xi'an" "Galmi" "Goan-Sul"],false,10,8,2,29,3,6,3,6,0,2,Goan-Sul,Galmi,false,492416738,404,Created 03/27/2024 at 13:51,3,27,2024,true,40,Justice,Phoenix,Controlling 2 Supremacy tokens,2,Abhilasha,Xi'an,Galmi,Narashima,Abunakkashii,Goan-Sul,Tomorrow
["Abhilasha" "Narashima" "Tomorrow"],true,14,11,2,39,7,1,7,12,1,2,Abhilasha,Abhilasha,true,["Galmi" "Xi'an" "Justice"],false,10,9,5,35,3,0,14,4,0,3,Xi'an,Galmi,false,493645067,404,Created 03/30/2024 at 13:45,3,30,2024,true,59,Goan-Sul,Abunakkashii,Winning a Great Battle by more than 10 points (Goan-Sul),2,Abhilasha,Galmi,Xi'an,Narashima,Tomorrow,Justice,Phoenix
["Abhilasha" "Xi'an" "Justice"],true,7,8,3,25,3,0,0,4,0,2,Xi'an,Xi'an,false,["Galmi" "Tomorrow" "Narashima"],false,8,9,0,24,1,0,0,7,0,2,Narashima,Tomorrow,true,496256648,403,Created 04/05/2024 at 22:46,4,5,2024,true,1326,Abunakkashii,Goan-Sul,Winning a Great Battle by more than 10 points (Goan-Sul),1,Galmi,Abhilasha,Xi'an,Tomorrow,Narashima,Justice,Phoenix
["Xi'an" "Galmi" "Tomorrow"],true,10,4,3,21,0,0,5,1,0,2,Galmi,Tomorrow,false,["Abhilasha" "Goan-Sul" "Narashima"],false,9,5,2,22,5,2,5,4,0,2,Abhilasha,Abhilasha,true,497511586,403,Created yesterday at 01:13,true,902,Phoenix,Abunakkashii,Controlling 2 Supremacy tokens,2,Abhilasha,Xi'an,Galmi,Goan-Sul,Narashima,Tomorrow,Justice
["Galmi" "Goan-Sul" "Phoenix"],true,12,9,3,32,1,3,5,7,0,5,Phoenix,Phoenix,false,["Xi'an" "Narashima" "Tomorrow"],false,11,8,4,52,3,1,4,5,0,4,Tomorrow,Narashima,true,497426180,403,Created 04/08/2024 at 20:43,4,8,2024,true,35,Abunakkashii,Justice,Unlocking 5 Activation tokens,2,Xi'an,Galmi,Goan-Sul,Narashima,Tomorrow,Phoenix,Abhilasha
